time="2023-01-26T08:47:05+08:00" level=info msg="Mixed(http+socks) proxy listening at: [::]:7891"
time="2023-01-26T08:47:05+08:00" level=info msg="RESTful API listening at: 127.0.0.1:9090"
time="2023-01-26T08:47:06+08:00" level=info msg="Start initial compatible provider 🎬Netflix"
time="2023-01-26T08:47:06+08:00" level=info msg="Start initial compatible provider 🔰国外流量"
time="2023-01-26T08:47:06+08:00" level=info msg="Start initial compatible provider 🎬哔哩哔哩"
time="2023-01-26T08:47:06+08:00" level=info msg="Start initial compatible provider 🎬Youtube"
time="2023-01-26T08:47:06+08:00" level=info msg="Start initial compatible provider ⚓️其他流量"
time="2023-01-26T08:47:06+08:00" level=info msg="Start initial compatible provider 🍎苹果服务"
time="2023-01-26T08:47:06+08:00" level=info msg="Start initial compatible provider 🚀直接连接"
time="2023-01-26T08:47:06+08:00" level=info msg="Start initial compatible provider 🎬国外媒体"
time="2023-01-26T08:47:06+08:00" level=info msg="Start initial compatible provider ✈️Telegram"
time="2023-01-26T08:47:26+08:00" level=info msg="[TCP] 127.0.0.1:47516 --> 20.205.243.166:443 using GLOBAL"
time="2023-01-26T08:47:26+08:00" level=info msg="[TCP] 127.0.0.1:47682 --> 20.205.243.166:443 using GLOBAL"
time="2023-01-26T08:47:26+08:00" level=info msg="[TCP] 127.0.0.1:47744 --> 20.205.243.166:443 using GLOBAL"
time="2023-01-26T08:47:26+08:00" level=info msg="[TCP] 127.0.0.1:47608 --> 20.205.243.166:443 using GLOBAL"
time="2023-01-26T08:47:26+08:00" level=info msg="[TCP] 127.0.0.1:47614 --> 20.205.243.166:443 using GLOBAL"
time="2023-01-26T08:47:26+08:00" level=info msg="[TCP] 127.0.0.1:47538 --> 20.205.243.166:443 using GLOBAL"
time="2023-01-26T08:47:26+08:00" level=info msg="[TCP] 127.0.0.1:47664 --> 20.205.243.166:443 using GLOBAL"
time="2023-01-26T08:47:26+08:00" level=info msg="[TCP] 127.0.0.1:47524 --> 20.205.243.166:443 using GLOBAL"
time="2023-01-26T08:47:26+08:00" level=info msg="[TCP] 127.0.0.1:47678 --> 20.205.243.166:443 using GLOBAL"
time="2023-01-26T08:47:26+08:00" level=info msg="[TCP] 127.0.0.1:47716 --> 20.205.243.166:443 using GLOBAL"
time="2023-01-26T08:47:26+08:00" level=info msg="[TCP] 127.0.0.1:47558 --> 20.205.243.166:443 using GLOBAL"
time="2023-01-26T08:47:26+08:00" level=info msg="[TCP] 127.0.0.1:47756 --> 20.205.243.166:443 using GLOBAL"
time="2023-01-26T08:47:26+08:00" level=info msg="[TCP] 127.0.0.1:47598 --> 20.205.243.166:443 using GLOBAL"
time="2023-01-26T08:47:26+08:00" level=info msg="[TCP] 127.0.0.1:47556 --> 20.205.243.166:443 using GLOBAL"
time="2023-01-26T08:47:26+08:00" level=info msg="[TCP] 127.0.0.1:47706 --> 20.205.243.166:443 using GLOBAL"
time="2023-01-26T08:47:26+08:00" level=info msg="[TCP] 127.0.0.1:47582 --> 20.205.243.166:443 using GLOBAL"
time="2023-01-26T08:47:26+08:00" level=info msg="[TCP] 127.0.0.1:47784 --> 20.205.243.166:443 using GLOBAL"
time="2023-01-26T08:47:26+08:00" level=info msg="[TCP] 127.0.0.1:47642 --> 20.205.243.166:443 using GLOBAL"
time="2023-01-26T08:47:26+08:00" level=info msg="[TCP] 127.0.0.1:47672 --> 20.205.243.166:443 using GLOBAL"
time="2023-01-26T08:47:26+08:00" level=info msg="[TCP] 127.0.0.1:47770 --> 20.205.243.166:443 using GLOBAL"
time="2023-01-26T08:47:26+08:00" level=info msg="[TCP] 127.0.0.1:47694 --> 20.205.243.166:443 using GLOBAL"
time="2023-01-26T08:47:26+08:00" level=info msg="[TCP] 127.0.0.1:47630 --> 20.205.243.166:443 using GLOBAL"
time="2023-01-26T08:47:26+08:00" level=info msg="[TCP] 127.0.0.1:47730 --> 20.205.243.166:443 using GLOBAL"
time="2023-01-26T08:47:26+08:00" level=info msg="[TCP] 127.0.0.1:47574 --> 20.205.243.166:443 using GLOBAL"
time="2023-01-26T08:47:26+08:00" level=info msg="[TCP] 127.0.0.1:47658 --> 20.205.243.166:443 using GLOBAL"
time="2023-01-26T08:47:27+08:00" level=info msg="[TCP] 127.0.0.1:42702 --> 20.205.243.166:443 using GLOBAL"
time="2023-01-26T08:47:29+08:00" level=info msg="[TCP] 127.0.0.1:42786 --> 20.205.243.166:443 using GLOBAL"
time="2023-01-26T08:47:29+08:00" level=info msg="[TCP] 127.0.0.1:42816 --> 20.205.243.166:443 using GLOBAL"
time="2023-01-26T08:47:29+08:00" level=info msg="[TCP] 127.0.0.1:42742 --> 20.205.243.166:443 using GLOBAL"
time="2023-01-26T08:47:29+08:00" level=info msg="[TCP] 127.0.0.1:42796 --> 20.205.243.166:443 using GLOBAL"
time="2023-01-26T08:47:29+08:00" level=info msg="[TCP] 127.0.0.1:42924 --> 20.205.243.166:443 using GLOBAL"
time="2023-01-26T08:47:29+08:00" level=info msg="[TCP] 127.0.0.1:42914 --> 20.205.243.166:443 using GLOBAL"
time="2023-01-26T08:47:29+08:00" level=info msg="[TCP] 127.0.0.1:42922 --> 20.205.243.166:443 using GLOBAL"
time="2023-01-26T08:47:29+08:00" level=info msg="[TCP] 127.0.0.1:42776 --> 20.205.243.166:443 using GLOBAL"
time="2023-01-26T08:47:29+08:00" level=info msg="[TCP] 127.0.0.1:42862 --> 20.205.243.166:443 using GLOBAL"
time="2023-01-26T08:47:29+08:00" level=info msg="[TCP] 127.0.0.1:42752 --> 20.205.243.166:443 using GLOBAL"
time="2023-01-26T08:47:29+08:00" level=info msg="[TCP] 127.0.0.1:42890 --> 20.205.243.166:443 using GLOBAL"
time="2023-01-26T08:47:29+08:00" level=info msg="[TCP] 127.0.0.1:42884 --> 20.205.243.166:443 using GLOBAL"
time="2023-01-26T08:47:29+08:00" level=info msg="[TCP] 127.0.0.1:42900 --> 20.205.243.166:443 using GLOBAL"
time="2023-01-26T08:47:29+08:00" level=info msg="[TCP] 127.0.0.1:42806 --> 20.205.243.166:443 using GLOBAL"
time="2023-01-26T08:47:29+08:00" level=info msg="[TCP] 127.0.0.1:42846 --> 20.205.243.166:443 using GLOBAL"
time="2023-01-26T08:47:29+08:00" level=info msg="[TCP] 127.0.0.1:42832 --> 20.205.243.166:443 using GLOBAL"
time="2023-01-26T08:47:29+08:00" level=info msg="[TCP] 127.0.0.1:42768 --> 20.205.243.166:443 using GLOBAL"
time="2023-01-26T08:47:29+08:00" level=info msg="[TCP] 127.0.0.1:42928 --> 20.205.243.166:443 using GLOBAL"
time="2023-01-26T08:47:29+08:00" level=info msg="[TCP] 127.0.0.1:42720 --> 20.205.243.166:443 using GLOBAL"
time="2023-01-26T08:47:29+08:00" level=info msg="[TCP] 127.0.0.1:42750 --> 20.205.243.166:443 using GLOBAL"
time="2023-01-26T08:47:29+08:00" level=info msg="[TCP] 127.0.0.1:42876 --> 20.205.243.166:443 using GLOBAL"
time="2023-01-26T08:47:29+08:00" level=info msg="[TCP] 127.0.0.1:42854 --> 20.205.243.166:443 using GLOBAL"
time="2023-01-26T08:47:29+08:00" level=info msg="[TCP] 127.0.0.1:42844 --> 20.205.243.166:443 using GLOBAL"
time="2023-01-26T08:47:29+08:00" level=info msg="[TCP] 127.0.0.1:42736 --> 20.205.243.166:443 using GLOBAL"
time="2023-01-26T08:47:29+08:00" level=info msg="[TCP] 127.0.0.1:42718 --> 20.205.243.166:443 using GLOBAL"
time="2023-01-26T08:47:29+08:00" level=info msg="[TCP] 127.0.0.1:42800 --> 20.205.243.166:443 using GLOBAL"
time="2023-01-26T08:47:29+08:00" level=info msg="[TCP] 127.0.0.1:42932 --> 20.205.243.166:443 using GLOBAL"
time="2023-01-26T08:48:46+08:00" level=info msg="[TCP] 127.0.0.1:59272 --> 20.205.243.166:443 using GLOBAL"
time="2023-01-26T08:48:46+08:00" level=info msg="[TCP] 127.0.0.1:59232 --> 20.205.243.166:443 using GLOBAL"
time="2023-01-26T08:48:46+08:00" level=info msg="[TCP] 127.0.0.1:59218 --> 20.205.243.166:443 using GLOBAL"
time="2023-01-26T08:48:46+08:00" level=info msg="[TCP] 127.0.0.1:59258 --> 20.205.243.166:443 using GLOBAL"
time="2023-01-26T08:48:46+08:00" level=info msg="[TCP] 127.0.0.1:59288 --> 20.205.243.166:443 using GLOBAL"
time="2023-01-26T08:48:46+08:00" level=info msg="[TCP] 127.0.0.1:59160 --> 20.205.243.166:443 using GLOBAL"
time="2023-01-26T08:48:46+08:00" level=info msg="[TCP] 127.0.0.1:59182 --> 20.205.243.166:443 using GLOBAL"
time="2023-01-26T08:48:46+08:00" level=info msg="[TCP] 127.0.0.1:59256 --> 20.205.243.166:443 using GLOBAL"
time="2023-01-26T08:48:46+08:00" level=info msg="[TCP] 127.0.0.1:59212 --> 20.205.243.166:443 using GLOBAL"
time="2023-01-26T08:48:46+08:00" level=info msg="[TCP] 127.0.0.1:59202 --> 20.205.243.166:443 using GLOBAL"
time="2023-01-26T08:48:46+08:00" level=info msg="[TCP] 127.0.0.1:59200 --> 20.205.243.166:443 using GLOBAL"
time="2023-01-26T08:48:46+08:00" level=info msg="[TCP] 127.0.0.1:59242 --> 20.205.243.166:443 using GLOBAL"
time="2023-01-26T08:48:46+08:00" level=info msg="[TCP] 127.0.0.1:59178 --> 20.205.243.166:443 using GLOBAL"
time="2023-01-26T08:48:46+08:00" level=info msg="[TCP] 127.0.0.1:59222 --> 20.205.243.166:443 using GLOBAL"
time="2023-01-26T08:48:46+08:00" level=info msg="[TCP] 127.0.0.1:59154 --> 20.205.243.166:443 using GLOBAL"
time="2023-01-26T08:48:46+08:00" level=info msg="[TCP] 127.0.0.1:59168 --> 20.205.243.166:443 using GLOBAL"
time="2023-01-26T08:48:46+08:00" level=info msg="[TCP] 127.0.0.1:59286 --> 20.205.243.166:443 using GLOBAL"
time="2023-01-26T08:48:46+08:00" level=info msg="[TCP] 127.0.0.1:59186 --> 20.205.243.166:443 using GLOBAL"
time="2023-01-26T08:48:46+08:00" level=info msg="[TCP] 127.0.0.1:59244 --> 20.205.243.166:443 using GLOBAL"
