time="2023-01-25T17:44:30+08:00" level=info msg="Mixed(http+socks) proxy listening at: [::]:7891"
time="2023-01-25T17:44:30+08:00" level=info msg="RESTful API listening at: 127.0.0.1:9090"
time="2023-01-25T17:44:30+08:00" level=info msg="Start initial compatible provider 🔰国外流量"
time="2023-01-25T17:44:30+08:00" level=info msg="Start initial compatible provider 🎬国外媒体"
time="2023-01-25T17:44:30+08:00" level=info msg="Start initial compatible provider 🎬Youtube"
time="2023-01-25T17:44:30+08:00" level=info msg="Start initial compatible provider 🎬Netflix"
time="2023-01-25T17:44:30+08:00" level=info msg="Start initial compatible provider 🚀直接连接"
time="2023-01-25T17:44:30+08:00" level=info msg="Start initial compatible provider 🎬哔哩哔哩"
time="2023-01-25T17:44:30+08:00" level=info msg="Start initial compatible provider ✈️Telegram"
time="2023-01-25T17:44:30+08:00" level=info msg="Start initial compatible provider ⚓️其他流量"
time="2023-01-25T17:44:30+08:00" level=info msg="Start initial compatible provider 🍎苹果服务"
time="2023-01-25T17:44:42+08:00" level=info msg="[TCP] 127.0.0.1:59458 --> github.githubassets.com:443 using GLOBAL"
time="2023-01-25T17:44:46+08:00" level=info msg="[TCP] 127.0.0.1:49450 --> camo.githubusercontent.com:443 using GLOBAL"
time="2023-01-25T17:44:46+08:00" level=info msg="[TCP] 127.0.0.1:49464 --> camo.githubusercontent.com:443 using GLOBAL"
time="2023-01-25T17:44:46+08:00" level=info msg="[TCP] 127.0.0.1:49478 --> camo.githubusercontent.com:443 using GLOBAL"
time="2023-01-25T17:44:46+08:00" level=info msg="[TCP] 127.0.0.1:49498 --> camo.githubusercontent.com:443 using GLOBAL"
time="2023-01-25T17:44:46+08:00" level=info msg="[TCP] 127.0.0.1:49506 --> camo.githubusercontent.com:443 using GLOBAL"
time="2023-01-25T17:44:46+08:00" level=info msg="[TCP] 127.0.0.1:49490 --> camo.githubusercontent.com:443 using GLOBAL"
time="2023-01-25T17:44:46+08:00" level=info msg="[TCP] 127.0.0.1:49516 --> raw.githubusercontent.com:443 using GLOBAL"
time="2023-01-25T17:44:46+08:00" level=info msg="[TCP] 127.0.0.1:49520 --> raw.githubusercontent.com:443 using GLOBAL"
time="2023-01-25T17:44:46+08:00" level=info msg="[TCP] 127.0.0.1:49532 --> raw.githubusercontent.com:443 using GLOBAL"
time="2023-01-25T17:45:02+08:00" level=info msg="[TCP] 127.0.0.1:34258 --> detectportal.firefox.com:80 using GLOBAL"
time="2023-01-25T17:45:02+08:00" level=info msg="[TCP] 127.0.0.1:34268 --> detectportal.firefox.com:80 using GLOBAL"
time="2023-01-25T17:45:02+08:00" level=info msg="[TCP] 127.0.0.1:34280 --> detectportal.firefox.com:80 using GLOBAL"
time="2023-01-25T17:45:16+08:00" level=info msg="[TCP] 127.0.0.1:43272 --> aus5.mozilla.org:443 using GLOBAL"
time="2023-01-25T17:45:16+08:00" level=info msg="[TCP] 127.0.0.1:43288 --> content-signature-2.cdn.mozilla.net:443 using GLOBAL"
time="2023-01-25T17:45:30+08:00" level=info msg="[TCP] 127.0.0.1:59092 --> www.baidu.com:443 using GLOBAL"
time="2023-01-25T17:45:31+08:00" level=info msg="[TCP] 127.0.0.1:59098 --> ocsp.globalsign.com:80 using GLOBAL"
time="2023-01-25T17:45:31+08:00" level=info msg="[TCP] 127.0.0.1:59140 --> www.baidu.com:443 using GLOBAL"
time="2023-01-25T17:45:31+08:00" level=info msg="[TCP] 127.0.0.1:59114 --> www.baidu.com:443 using GLOBAL"
time="2023-01-25T17:45:31+08:00" level=info msg="[TCP] 127.0.0.1:59148 --> www.baidu.com:443 using GLOBAL"
time="2023-01-25T17:45:31+08:00" level=info msg="[TCP] 127.0.0.1:59126 --> www.baidu.com:443 using GLOBAL"
time="2023-01-25T17:45:31+08:00" level=info msg="[TCP] 127.0.0.1:59158 --> himg.bdimg.com:443 using GLOBAL"
time="2023-01-25T17:45:31+08:00" level=info msg="[TCP] 127.0.0.1:59172 --> pss.bdstatic.com:443 using GLOBAL"
time="2023-01-25T17:45:31+08:00" level=info msg="[TCP] 127.0.0.1:59180 --> t14.baidu.com:443 using GLOBAL"
time="2023-01-25T17:45:31+08:00" level=info msg="[TCP] 127.0.0.1:59192 --> t8.baidu.com:443 using GLOBAL"
time="2023-01-25T17:45:31+08:00" level=info msg="[TCP] 127.0.0.1:59190 --> pss.bdstatic.com:443 using GLOBAL"
time="2023-01-25T17:45:31+08:00" level=info msg="[TCP] 127.0.0.1:59198 --> t14.baidu.com:443 using GLOBAL"
time="2023-01-25T17:45:31+08:00" level=info msg="[TCP] 127.0.0.1:59204 --> pss.bdstatic.com:443 using GLOBAL"
time="2023-01-25T17:45:31+08:00" level=info msg="[TCP] 127.0.0.1:59206 --> t13.baidu.com:443 using GLOBAL"
time="2023-01-25T17:45:31+08:00" level=info msg="[TCP] 127.0.0.1:59218 --> t14.baidu.com:443 using GLOBAL"
time="2023-01-25T17:45:31+08:00" level=info msg="[TCP] 127.0.0.1:59228 --> pss.bdstatic.com:443 using GLOBAL"
time="2023-01-25T17:45:31+08:00" level=info msg="[TCP] 127.0.0.1:59240 --> pss.bdstatic.com:443 using GLOBAL"
time="2023-01-25T17:45:31+08:00" level=info msg="[TCP] 127.0.0.1:59254 --> pss.bdstatic.com:443 using GLOBAL"
time="2023-01-25T17:45:31+08:00" level=info msg="[TCP] 127.0.0.1:59256 --> pss.bdstatic.com:443 using GLOBAL"
time="2023-01-25T17:45:31+08:00" level=info msg="[TCP] 127.0.0.1:59266 --> hectorstatic.baidu.com:443 using GLOBAL"
time="2023-01-25T17:45:31+08:00" level=info msg="[TCP] 127.0.0.1:59278 --> sp1.baidu.com:443 using GLOBAL"
time="2023-01-25T17:45:32+08:00" level=info msg="[TCP] 127.0.0.1:59292 --> sp1.baidu.com:443 using GLOBAL"
time="2023-01-25T17:45:32+08:00" level=info msg="[TCP] 127.0.0.1:59304 --> ug.baidu.com:443 using GLOBAL"
time="2023-01-25T17:45:32+08:00" level=info msg="[TCP] 127.0.0.1:59312 --> ug.baidu.com:443 using GLOBAL"
time="2023-01-25T17:45:32+08:00" level=info msg="[TCP] 127.0.0.1:59348 --> b.bdstatic.com:443 using GLOBAL"
time="2023-01-25T17:45:32+08:00" level=info msg="[TCP] 127.0.0.1:59336 --> b.bdstatic.com:443 using GLOBAL"
time="2023-01-25T17:45:32+08:00" level=info msg="[TCP] 127.0.0.1:59324 --> dss1.bdstatic.com:443 using GLOBAL"
time="2023-01-25T17:45:32+08:00" level=info msg="[TCP] 127.0.0.1:59382 --> hpd.baidu.com:443 using GLOBAL"
time="2023-01-25T17:45:32+08:00" level=info msg="[TCP] 127.0.0.1:59338 --> b.bdstatic.com:443 using GLOBAL"
time="2023-01-25T17:45:32+08:00" level=info msg="[TCP] 127.0.0.1:59364 --> b.bdstatic.com:443 using GLOBAL"
time="2023-01-25T17:45:32+08:00" level=info msg="[TCP] 127.0.0.1:59378 --> b.bdstatic.com:443 using GLOBAL"
time="2023-01-25T17:45:32+08:00" level=info msg="[TCP] 127.0.0.1:59392 --> dss1.bdstatic.com:443 using GLOBAL"
time="2023-01-25T17:45:34+08:00" level=info msg="[TCP] 127.0.0.1:59408 --> www.baidu.com:443 using GLOBAL"
time="2023-01-25T17:45:34+08:00" level=info msg="[TCP] 127.0.0.1:59416 --> www.baidu.com:443 using GLOBAL"
time="2023-01-25T17:45:34+08:00" level=info msg="[TCP] 127.0.0.1:59426 --> www.baidu.com:443 using GLOBAL"
time="2023-01-25T17:45:34+08:00" level=info msg="[TCP] 127.0.0.1:57926 --> www.baidu.com:443 using GLOBAL"
time="2023-01-25T17:45:34+08:00" level=info msg="[TCP] 127.0.0.1:57940 --> ocsp.globalsign.com:80 using GLOBAL"
time="2023-01-25T17:45:35+08:00" level=info msg="[TCP] 127.0.0.1:57948 --> sp3.baidu.com:443 using GLOBAL"
time="2023-01-25T17:45:35+08:00" level=info msg="[TCP] 127.0.0.1:57944 --> www.google.com:443 using GLOBAL"
time="2023-01-25T17:45:35+08:00" level=info msg="[TCP] 127.0.0.1:57962 --> ocsp.pki.goog:80 using GLOBAL"
time="2023-01-25T17:45:35+08:00" level=info msg="[TCP] 127.0.0.1:57978 --> incoming.telemetry.mozilla.org:443 using GLOBAL"
